
[SYSTEM INSTRUCTION]
This is an AI Reference Sheet, a global manifest for multiple knowledge files.
1.  **Purpose:** This file is an index linking a document's `DocID`, `Title`, and `Description` to its `SourceFile`. It does not contain document text.
2.  **Structure:** `[DocID: ... | Title: ... | Description: ...] | [SourceFile: ...]`
3.  **Usage:** Use this manifest to identify which `SourceFile` contains the relevant document for a query before retrieving the content. The Description field explains the document's purpose and content.
4.  **Canonical Identifier:** The `DocID` is the unique identifier.
[/SYSTEM INSTRUCTION]
---

--- GLOBAL DOCUMENT INDEX ---
[DocID: CLAUDE2KQRX2TEGB | Title: Administration-Api | Description: Admin API for programmatically managing organization resources including members, workspaces, and API keys] | [SourceFile: Claude_Api_1.txt]
[DocID: CLAUDE1ACSBSC5BR | Title: Agent Sdk Overview | Description: Agent SDK overview for building custom AI agents with Claude using TypeScript or Python] | [SourceFile: Claude_Api_1.txt]
[DocID: CLAUDEBSRH6ZGRW | Title: Agent Skill Best-Practices | Description: Best practices for writing effective Skills that Claude can discover and use successfully] | [SourceFile: Claude_Api_1.txt]
[DocID: CLAUDE1ZJIQJC4LM | Title: Agent Skill Quickstart | Description: Quick start guide for using Agent Skills to create documents with the Claude API] | [SourceFile: Claude_Api_1.txt]
[DocID: CLAUDE76M3R320C | Title: Agent Skills Overview | Description: Agent Skills overview - modular capabilities that extend Claude's functionality with instructions and resources] | [SourceFile: Claude_Api_1.txt]
[DocID: CLAUDEX5QZSRC87 | Title: Bash-Tool | Description: Bash tool for executing shell commands in a persistent bash session with system operations and automation] | [SourceFile: Claude_Api_1.txt]
[DocID: CLAUDE16LIHGE4PP | Title: Batch-Processing | Description: Batch processing API for handling large volumes of requests asynchronously with 50% cost reduction] | [SourceFile: Claude_Api_1.txt]
[DocID: CLAUDE1IYGCW2LRP | Title: Be-Clear-And-Direct | Description: Prompting technique for clear, direct, and detailed communication with Claude] | [SourceFile: Claude_Api_1.txt]
[DocID: CLAUDE1Y4D8BNMMB | Title: Chain-Of-Thought | Description: Chain-of-thought prompting technique for improving accuracy on complex reasoning tasks] | [SourceFile: Claude_Api_1.txt]
[DocID: CLAUDEO2J8COWOE | Title: Chain-Prompts | Description: Prompt chaining technique for breaking complex tasks into smaller, manageable subtasks] | [SourceFile: Claude_Api_1.txt]
[DocID: CLAUDE16HPC8GBGL | Title: Choosing-A-Model | Description: Guide for selecting the optimal Claude model balancing capabilities, speed, and cost] | [SourceFile: Claude_Api_2.txt]
