
[SYSTEM INSTRUCTION]
This is an AI Reference Sheet, a global manifest for multiple knowledge files.
1.  **Purpose:** This file is an index linking a document's `DocID`, `Title`, and `Description` to its `SourceFile`. It does not contain document text.
2.  **Structure:** `[DocID: ... | Title: ... | Description: ...] | [SourceFile: ...]`
3.  **Usage:** Use this manifest to identify which `SourceFile` contains the relevant document for a query before retrieving the content. The Description field explains the document's purpose and content.
4.  **Canonical Identifier:** The `DocID` is the unique identifier.
[/SYSTEM INSTRUCTION]
---

--- GLOBAL DOCUMENT INDEX ---
[DocID: GEMINIX2SS9S6CL | Title: Api-Key.Md | Description: API key management, authentication methods, and security best practices] | [SourceFile: Gemini_Api_1.txt]
[DocID: GEMINI192ZDUVYIX | Title: Audio.Md | Description: Audio input processing, audio understanding, and audio analysis capabilities] | [SourceFile: Gemini_Api_1.txt]
[DocID: GEMINI8TLX3AA1L | Title: Batch-Api.Md | Description: Batch API requests, bulk processing, and asynchronous operations] | [SourceFile: Gemini_Api_1.txt]
[DocID: GEMINICED9JOS8H | Title: Billing.Md | Description: Billing information, payment methods, and account management] | [SourceFile: Gemini_Api_1.txt]
[DocID: GEMINI1YCWMSOV0T | Title: Caching.Md | Description: Response caching, cache management, and performance optimization] | [SourceFile: Gemini_Api_1.txt]
[DocID: GEMINI2CEH3UDMXX | Title: Changelog.Md | Description: API version history, updates, breaking changes, and release notes] | [SourceFile: Gemini_Api_2.txt]
[DocID: GEMINIQ3FI1M41D | Title: Code-Execution.Md | Description: Code execution capabilities, running code snippets, and programming support] | [SourceFile: Gemini_Api_2.txt]
[DocID: GEMINI1EIX15UM7A | Title: Computer-Use.Md | Description: Computer automation, system control, and desktop interaction capabilities] | [SourceFile: Gemini_Api_2.txt]
[DocID: GEMINI1VR1ORGWLW | Title: Crewai-Example.Md | Description: CrewAI framework integration examples and agent orchestration patterns] | [SourceFile: Gemini_Api_2.txt]
[DocID: GEMINICBT5QKZBW | Title: Document-Processing.Md | Description: Document analysis, processing, extraction, and understanding capabilities] | [SourceFile: Gemini_Api_2.txt]
[DocID: GEMINI5UPTD6OMJ | Title: Embeddings.Md | Description: Text embeddings generation, vector representations, and semantic search] | [SourceFile: Gemini_Api_3.txt]
[DocID: GEMINI15TSE07OK0 | Title: Ephemeral-Tokens.Md | Description: Temporary authentication tokens, short-lived credentials, and session management] | [SourceFile: Gemini_Api_3.txt]
